pid,dt,url,title,price,neighb,sqft,lat,lng,accuracy,body_text,laundry_known,laundry_onpremises,laundry_inunit,room_known,private_room,bath_known,private_bath,parking_known,onsite_parking
6037937600,2017-03-10 09:28,http://sfbay.craigslist.org/eby/roo/6037937600.html,Seeking a 3rd person to house share,1500,fremont / union city / newark,0,37.530800,-121.971200,22,"We are two (late twenties/early thirties) female working professionals looking to find another 3rd roommate for a house share. We want to rent a 3 bedroom dog-friendly house with a private backyard anywhere from Fremont to Newark. Since we are both gone a lot we want the smaller rooms and to rent the master/private bath to you. Rent for this would range from $1500.00+ or so depending on the room size etc.
About us:
I work in the healthcare industry and have a sweet female vizsla dog who loves other dogs. We are open to having one more dog in the house as well. I love to travel, and get out most weekends with my dog. I enjoy wakeboarding, working out, wine tasting in Napa, going to sporting events and relaxing and watching Netflix in my free time.

My friend works for a fine jewelry company as a territory manager and is only here M-F and gone every weekend as her house is down south. We are both easy-going, clean, respectful and fun individuals. We like having friends over for dinner and enjoying wine or watching Netflix together.

We are looking for a roommate right away, and are beginning to house-hunt now. If you are interested and think we would mesh, please tell me a little about yourself.",TRUE,FALSE,True,True,TRUE,True,TRUE,TRUE,FALSE
6028416310,2017-03-10 09:28,http://sfbay.craigslist.org/sby/roo/6028416310.html,Studio for rent for 1 person in San Jose South,850,san jose south,400,37.245800,-121.830600,22,"Converted studio for rent in San Jose South in beautiful house for 1 male. Private bath. Share kitchen, laundry room and back yard. Must be employed and have good credit. Prefer professional. $850 per month plus 1/3 of utilities. Must be clean. No drugs, smoking or pets. Move in cost first and last month rent and $200 utility and cleaning deposit. Call 
 
 Prefer l/t housemate.",TRUE,TRUE,False,True,TRUE,True,TRUE,TRUE,FALSE
6024887152,2017-03-10 09:28,http://sfbay.craigslist.org/eby/roo/6024887152.html,A large room w/private deck/ 6 blocks to MacBART,875,oakland north / temescal,200,37.836500,-122.280400,22,"Available: April 1st or earlier :

A large room (12x16)(200 sq feet) , and included is a private wraparound deck(3 sides of the room, an added 250 square feet of exclusive private outdoor space to this room) with sliding glass door from the room. Also included is a private toilet to this room.

The room has no adjoining rooms, so it is detached and so, very,very quiet and private. There is lots of glass, so both good and bad, it's full of natural light and sunshine most of the year, but when it's winter, it's cold inside.There is thick gold carpet, a working ceiling fan . It has a cathedral ceiling.

The living environment in this apartment is pretty much an independent living 4 bedroom flat, type of dynamic. What is important is folks being respectful and considerate, quiet and very low drama.. in other words good share renters qualities., not meal sharing or being good buddies or watching movies together. Do your dishes, a little housekeeping, not much company coming over. Quiet and Peaceful.

The rest of the place includes a front shared deck, a washer and dryer in the basement(just part of the PGE bill), a little storage, a fully functioning kitchen, a furnished living room. The property has a large bunch of trees, mostly plum and apple, a few others.

The location is 34th St, near Market/San Pablo Ave. It has become a pretty decent block. It is generally pretty safe and quiet.The area is not great, but not bad.

It is a extremely convenient location being 6 blocks to Macarthur BART, lots of buses nearby, excellent access for freeway access 24/580. Near Emeryville, Not far from downtown Oakland, Not too far from Berkeley. A major Shopping Center is 5 blocks away, has Pak and Save, Target, Best Buy, Michaels Art, Home Depot,Office Depot, Starbucks, Subway Sandwich, Dominos, etc

A one year lease is required, a security deposit of 1.5 times the rent is required, no 2 person scenarios, no indoor smoking, no pets.

If interested, please leave a brief description of yourself,when you are trying to move, if an independent household dynamic suits you and why, what your super bill paying powers are. and a contact telephone number where you may be called. Thanks for your interest.",TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6024880063,2017-03-10 09:27,http://sfbay.craigslist.org/eby/roo/6024880063.html,A medium size room near MacBART/ quiet,640,oakland north / temescal,140,37.836500,-122.280400,22,"Available April 1st o earlier;

A 11x13 room /medium sized in a 4 br flat. The room has a painted wood floor, a 9 foot ceiling, a large closet, and is off the kitchen and bathroom.It has one window.

There is a furnished/equipped kitchen/living room, a washer and dryer (PGE only) in the building,
a front deck.

It is located in Northwest Oakland, an improving area, with a pretty good block. It is 6 blocks to Macarthur BART, 5 blocks to a major shopping center, near the freeway onramps for 24/580, and
several buses nearby.It is convenient for Emeryville, San Francisco, downtown Oakland, and not so great for Berkeley.

The household flow is an independent household, no expected buddies in your fellow renters, just good ,considerate,respectful, quiet folks following their own paths in life. If a friendship is
developed, it's an unintended bonus. The focus is on low/no drama and quiet when you come home to your domain/room.The housekeeping is neither bad, nor great. It is just average. Seeking someone who is no drama, easy going, and quiet, not much company coming over.

Other than that, a one year lease, 1.5x the rent for security deposit, no indoor smoking, overnight gusts 1 time per week, no 2 person scenarios, and no pets.

If interested, please leave a brief description of yourself, your job, your ways in the place that you live, when you are trying to move, and A TELEPHONE CONTACT NUMBER for you to be called at.

Thanks for your interest.",TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6000678080,2017-03-10 09:27,http://sfbay.craigslist.org/sby/roo/6000678080.html,"Two rooms w/  private kitchen, living room, 1 bathroom for rent",2100,milpitas,0,37.435200,-121.895000,0,"located in the center of Milpitas, off of calaveras, 2 bedrooms, private kitchen,  living room and bathroom. Basically, own living space and a private entrance.    Walking distance to groceries and shopping center, safe neighborhood. No pets sorry!

12 month contract ($2100 each month) + utility + deposit 

rooms available starting in April 1    

email me if you interested. I will get back to you.

Thank You",TRUE,FALSE,False,True,TRUE,True,TRUE,TRUE,FALSE
6037922563,2017-03-10 09:26,http://sfbay.craigslist.org/sfc/roo/6037922563.html,Furnished Noe Valley Sublet (possible to extend long term),750,noe valley,0,37.748654,-122.433615,22,"I'm subletting my beautiful Noe Valley bedroom in our huge flat. You'll have your own bedroom, queen size bed, and access to a full stacked kitchen with coffee maker, microwave, dishwasher, and coffee maker. Washer&dryer in the building. 

Dates available: Now - March 31
Rent: $750 (including utilities)


House is a block away from restaurants, bars, and cafes. Ideal location for experiencing SF or commuting to Silicon Valley. Easy and free street parking. MUNI bus stop and all tech shuttles are around the corner, MUNI J-line is 5-minute walk away.

Please contact with email and provide some information about yourself. Thanks!",TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6037933119,2017-03-10 09:25,http://sfbay.craigslist.org/sfc/roo/6037933119.html,big sunny room on the second level of the newly model house,970,excelsior / outer mission,190,37.714256,-122.446779,20,"the room is on the 2nd level with a lot of sunlight, double windows and double closet doors. very good size for one person. 
The available room is sharing the kitchen and 2 bathrooms with other 4 housemates who are mid 20s professional males working in financial district and south bay. 
Rent is $970 
Deposit is $970. 
moving in cost is $1940.
utility( water, PG&E, Garbage, and internet) will cost $60 per room. 
washer and dryer on site quarter operate. 

Perfect for a student or someone who wants to be close to the city but might be working on the Peninsula or financial district. 
Looking for a responsible person who pays their rent on-time, cleans up after cooking, and respect other's privacy. 
If you are interested, please leave your name, number and a brief description about yourself so we can arrange a time for you to see the room.

credit report is required. 
No smoking or drugs, no 420, No pets.
One room is for one person",TRUE,FALSE,True,True,TRUE,True,FALSE,TRUE,FALSE
6007851704,2017-03-10 09:25,http://sfbay.craigslist.org/sfc/roo/6007851704.html,Super Easy transportation and Very convenient area,1100,sunset / parkside,0,37.743052,-122.475644,15,"Beautiful, clean room with 2 bathrooms! Laundry (Washer & Dryer) is in the building. Lots of free street parking.

Half block to Muni L Taraval to Downtown, few steps to Muni 28 bus to SF State University, very close to banks, Safeway, restaurants, coffee shops, supermarkets, public library

Looking for quiet, clean and responsible tenant. No smoking. No pets. No drugs. No parties. Utilities is divided evenly among tenants.

You'll get 1 private room plus 2 shared bathrooms with shower and toilet, 1 shared kitchen.

1 ROOM/PERSON. NO EXCEPTIONS.

Location: Parkside district, on 19th Ave (2 minute walk from L Taraval). 15 minutes away from Downtown San Francisco, Powell Station, Union Square.
8 minutes away from SFSU, easy access to freeway I-280

Please call or text message me at 
 
if you're interested and tell me about yourself. Please include:
1) Name
2) Age
3) Occupation
5) Best phone # to contact you/Facebook/Instagram/LinkedIn
6) When you're available to see the room?
7) When you'd like to move in?
8) How long would you like to lease for?

Rent: $1100/month + deposit ($1500). 1 year lease 
Please call or text message me at 
 
or 
 
if you're interested in this room.",TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6028027018,2017-03-10 09:24,http://sfbay.craigslist.org/sfc/roo/6028027018.html,The Sunny of Large Bedroom for rent,1050,excelsior / outer mission,211,37.707387,-122.458774,7,"About Location:
Our house is located outer mission on Wilson Street
10 minutes walk to the Daly City Bart Station
3 minutes walk to the bus stop, Buses have 120, 121, 130, 14, 14L, 14R, 14X, ECR
1 minute walk to the opposite Walgreens
3 minutes driving distance to drive on the #280 Highway
17 minutes drive to the San Francisco Downtown
Shopping and traffic is very convenient


About Room:
- This advert is that we want to share where a bedroom in the 3F; 
- Quiet and spacious of bedroom, room size 211 sq ft (17.6 x 12) 
- Kitchen with refrigerator, microwave, oven, gas stove etc., share use.
- With a wardrobe, curtains. (i can provide furniture)
- Garage with a washing machine, dryer shared
- Street parking

About Rent:
- $1,050 rent, utilities not include.
- The first month's rent and last month's rent plus deposit to move into a total of $3,150
-Utilities Fee (Gas, electricity, water, garbage, cable Internet, etc.) 
About $55 a month per person in the summer, in the winter of about $75
- Any additional people are $100 per month (The maximum amount of people allowed to stay are 2 per room)


Requirements:
- One year lease
- Credit check
- Verification of Employment You can verify the work
- Co-signer Okay
- Students work or steady income.
- Light Cooking
- No drug , No smoking alcohol , No parties , No pets. 

- If you are interested please briefly tell me your yourself
such as about your occupation or your working hours check-in time. why did you move. usually stay at home time.. etc.,


Please contact me make an appointment to take a visit, 

Thank you








.",TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6012001814,2017-03-10 09:24,http://sfbay.craigslist.org/sby/roo/6012001814.html,"Lrge, Nice, Nuly Furnished Master Bdrm, Prvt Bath, Inc. All Utils",1100,san jose north,0,37.396730,-121.845707,7,"A well college-educated (MIT alum) professional is opening up a very nice, large, fully 
furnished MASTER bedroom with private parking space, full-bathroom, and 2 walk-in 
closets in a beautiful, relax, cozy, nice, quiet, safe, and professionally-oriented environment 
in North San Jose area to rent. 

* 1 PERSON: $1,100/month (Base Rent: ~$1,000/month + All Utils: ~$100/month).
* 2 PEOPLE: $1,400/month (Base Rent: ~$1,250/month + All Utils: ~$150/month).

* ALL UTILITIES include PGE, Water, (200Mbps) Hi-speed Internet, Std/Extended 
Comcast Cable, Periodic Professional Cleaning Services, Laundry, Trash, etc.

* MOVE-IN: First month (Prorated) + Last month + $600 security deposit. 

* AVAILABILITY: March 19th, 2017 
* BEGIN SHOWING: NOW.

Please VIEW our online SLIDESHOW of the MASTER bedroom: 
http://www.youtube.com/watch?v=dkVqG2n1stc 

The fully furnished MASTER bedroom includes with the following privileges 
and amenities: 
* Wall to wall vinyl/carpet/rug. 
* 2 walk-in closets.
* 1 excellent queen/king-size bed-set.
* 1 5-drawer dresser.
* 1 table/desk & managerial chair.
* 2-3 wall/built-in bookshelves.
* 1 own newly installed window air conditioner (AC) for the summer months.
* 1 individual heater and central heat for the winter months.
* 1 cable jack/box with Standard/Extended Comcast Cable hookup.
* 1 own (wired and wireless) router with Hi-Speed Comcast Internet hookup.
* 1 full bathroom. 
* 1 large and new refrigerator. 
* Shared in-house laundry facility. 
* Shared a fully equipped kitchen, including stove, range, microwave, toaster/oven, etc. 
* Shared a fully dining room with dinning table and chairs. 

* Periodic Professional Cleaning Maintenance Services (every 2-3 months) 
of the whole house, including all common areas and bathrooms.

* Extremely convenient location: Minutes away from 680, 880, and 101, 
San Jose International Airport, Caltrain Station, Ranch 99, Safeway, 
CVS, BofA, Chase, Target, Flea Market, San Jose Municipal Golf Course, 
and few miles from Great Mall, Milpitas Square, McCarthy Ranch, and 
close driving distant to major hi-tech companies such as Cisco, LSI Logic, 
Cadence, etc. 

* A few blocks away from Piedmont Middle and Piedmont Hills High Schools.

* The residents MUST be reasonably quiet and clean, involved with NO ILLEGAL 
drug or smoke (including marijuana) of any kind, courteous, and financially responsible. 

* Thought the owner loves both cats and dogs very much, he is medically allergic to them severely.

* Month To Month Lease and preferably at least 3 months plan stay. 

For appointment, please contact: MD. 
* Text/Call:",TRUE,TRUE,False,True,TRUE,True,TRUE,TRUE,TRUE
